"gene","cluster_id","baseMean","logFC","lfcSE","stat","p_val","p_adj.loc","p_adj.glb","contrast","comparison_type","method"
"Creb1","NK_cells",89.7,-0.351,0.254,-1.38,0.167,0.467,0.448,"WB","Compartment","muscat_DESeq2"
"Plekhm3","NK_cells",31.4,-0.551,0.423,-1.3,0.193,0.497,0.482,"WB","Compartment","muscat_DESeq2"
"Pikfyve","NK_cells",19.5,-0.872,0.477,-1.83,0.0675,0.278,0.264,"WB","Compartment","muscat_DESeq2"
"Kansl1l","NK_cells",20.6,0.176,0.438,0.401,0.689,0.877,0.872,"WB","Compartment","muscat_DESeq2"
"Acadl","NK_cells",64,0.0787,0.267,0.295,0.768,0.913,0.911,"WB","Compartment","muscat_DESeq2"
"Lancl1","NK_cells",16.4,-0.328,0.474,-0.693,0.488,0.764,0.753,"WB","Compartment","muscat_DESeq2"
"Ikzf2","NK_cells",23.7,-1.55,0.455,-3.42,0.000638,0.0101,0.0101,"WB","Compartment","muscat_DESeq2"
"Spag16","NK_cells",23.1,0.472,0.43,1.1,0.273,0.593,0.575,"WB","Compartment","muscat_DESeq2"
"Atic","NK_cells",41.5,-0.563,0.319,-1.76,0.0777,0.304,0.288,"WB","Compartment","muscat_DESeq2"
"Fn1","NK_cells",42.7,-4.55,0.545,-8.35,0.000000000000000069,0.0000000000000288,0.000000000000049,"WB","Compartment","muscat_DESeq2"
"Xrcc5","NK_cells",20.7,-0.891,0.433,-2.06,0.0397,0.207,0.193,"WB","Compartment","muscat_DESeq2"
"Rpl37a","NK_cells",323,0.565,0.316,1.79,0.0741,0.297,0.281,"WB","Compartment","muscat_DESeq2"
"Cxcr2","NK_cells",20.6,-3.14,1.61,-1.95,0.0516,0.241,0.225,"WB","Compartment","muscat_DESeq2"
"Arpc2","NK_cells",465,0.674,0.161,4.18,0.0000289,0.000741,0.000885,"WB","Compartment","muscat_DESeq2"
"Aamp","NK_cells",53.7,0.315,0.289,1.09,0.276,0.597,0.578,"WB","Compartment","muscat_DESeq2"
"Pnkd","NK_cells",21.2,0.516,0.437,1.18,0.238,0.555,0.536,"WB","Compartment","muscat_DESeq2"
"Ctdsp1","NK_cells",34.9,0.255,0.341,0.747,0.455,0.741,0.731,"WB","Compartment","muscat_DESeq2"
"Usp37","NK_cells",41.9,-0.391,0.323,-1.21,0.227,0.54,0.523,"WB","Compartment","muscat_DESeq2"
"Cnot9","NK_cells",15.6,-0.299,0.5,-0.598,0.55,0.801,0.791,"WB","Compartment","muscat_DESeq2"
"Ttll4","NK_cells",20.1,-1.18,0.441,-2.67,0.0077,0.0686,0.0642,"WB","Compartment","muscat_DESeq2"
"Cnppd1","NK_cells",48.5,0.487,0.323,1.51,0.132,0.412,0.392,"WB","Compartment","muscat_DESeq2"
"Retreg2","NK_cells",26.6,0.645,0.43,1.5,0.134,0.415,0.395,"WB","Compartment","muscat_DESeq2"
"Stk16","NK_cells",30.3,-0.317,0.364,-0.87,0.384,0.693,0.679,"WB","Compartment","muscat_DESeq2"
"Tuba4a","NK_cells",53,0.292,0.319,0.914,0.361,0.674,0.659,"WB","Compartment","muscat_DESeq2"
"Dnpep","NK_cells",22.8,-0.0615,0.443,-0.139,0.89,0.962,0.963,"WB","Compartment","muscat_DESeq2"
"Chpf","NK_cells",14.3,0.604,0.546,1.11,0.268,0.588,0.569,"WB","Compartment","muscat_DESeq2"
